day,phase,channel,asset,primary_copy_tr,cta_tr,primary_event,success_signal
1,Opportunity,Instagram Story,3-frame teaser,"Bugün kahve seçmek yerine anını seçsen? / Ferahlamak mı? Yavaşlamak mı? Odaklanmak mı? / Roby's Taste Week geliyor.","İlk öğrenen ol",taste_week_view,"Story completion >= 55%"
1,Opportunity,Instagram Feed,Static teaser,"Uzun bir menü yerine, bugünkü anına açılan tek bir kapı. Roby's Taste Week yakında.","Profili ziyaret et",taste_week_view,"Profile visits increase versus baseline"
2,Problem,Instagram Story,Poll,"Menüye bakıp yine aynı kahveyi söylediğin oldu mu?", "Bugünkü ruh halini seç",taste_week_quiz_start,"Poll response rate >= 8%"
2,Problem,Landing,Problem section,"Daha fazla seçenek her zaman daha iyi bir seçim demek değil.","Eşleşmemi bul",taste_week_quiz_start,"Landing bounce below 55%"
3,Ownership,Instagram Story,3-question quiz,"Bugün serinlemek mi, yavaşlamak mı? / Hafif mi, yoğun mu? / Tek başına mı, paylaşarak mı?","Eşleşmemi aç",taste_week_quiz_complete,"Quiz completion >= 60%"
3,Ownership,Landing,Pairing result,"Senin anın için tek bir eşleşme.","Yol tarifi al",taste_week_pairing_view,"Pairing view to route >= 8%"
4,Demonstration,Instagram Reel,15-25 second demo,"Önce anını seç. Sonra Roby's sana menüden tek bir eşleşme göstersin.","Bugünün eşleşmesini gör",taste_week_view,"50% video completion >= 25%"
4,Demonstration,Instagram Story,Pair A reveal,"Bugünün hafif seçimi: Cool Lime + fıstıklı makaron, 290 TRY.","Eşleşmeyi aç",taste_week_pairing_view,"Pair A card views recorded"
4,Demonstration,Instagram Story,Pair B reveal,"Daha yavaş ve kremamsı bir mola: Buzlu Latte + San Sebastian, 370 TRY.","Eşleşmeyi aç",taste_week_pairing_view,"Pair B card views recorded"
5,Proof,Instagram Story,Behind the scenes,"İki farklı an. İki farklı eşleşme.","Hangisini denemek istersin?",taste_week_quiz_complete,"Replies and saves above baseline"
5,Proof,Instagram Reel,Preparation close-up,"Ferah ve canlı ya da yavaş ve kremamsı. Seçim bugünkü anına ait.","Eşleşmemi bul",taste_week_view,"Return landing sessions increase"
6,Open,Landing,Campaign hero,"Roby's Taste Week başladı. Anını seç, eşleşmeni aç ve bu hafta Roby's'de dene.","Eşleşmemi seç",taste_week_quiz_start,"Landing sessions meet daily target"
6,Open,Instagram Story,Open announcement,"Taste Week başladı.","Eşleşmemi seç",taste_week_code_view,"Code views and route clicks recorded"
6,Open,Cafe counter,Staff attribution card,"Taste Week kodun hangisi: TASTE-A mı TASTE-B mi?","Satın alımı kaydet",taste_week_purchase_confirmed,"Every attributed purchase is logged"
7,Close,Instagram Story,Morning reminder,"Taste Week'in son günü. Bugünkü anın hangi eşleşme?","Eşleşmemi gör",taste_week_pairing_view,"Last-day pairing views increase"
7,Close,Instagram Story,Evening close,"Taste Week bugün kapanıyor. Ama Taste Journey devam edecek.","Son gün eşleşmemi gör",taste_week_code_view,"No expired bonus shown after close"
8,Post-launch,Internal,Review session,"Verified results only: sessions, route clicks, codes, purchases and contribution.","Scale / iterate / stop",taste_week_purchase_confirmed,"Decision recorded within 48 hours"
